method,mean_same_cluster_distance,mean_diff_cluster_distance,same_minus_diff_cluster_distance,mean_same_side_distance,mean_cross_side_distance,same_minus_cross_side_distance,cluster_silhouette,side_silhouette,nn_same_cluster,nn_cross_side
count_rdm,0.4729166666666666,0.5131481481481481,-0.040231481481481535,0.46838757949869064,0.5441595441595442,-0.07577196466085351,-0.12848639585037794,0.09085357775772451,5,7
salmon_d5,0.8228652633987596,0.9679604164977114,-0.1450951530989517,0.8691894081309647,1.0116365011608965,-0.14244709302993186,-0.038823342833806604,0.12831902399249462,8,7
salmon_d15,0.8159580090181059,0.9300896915816965,-0.11413168256359063,0.7669957428089902,1.0573537973614142,-0.290358054552424,0.00465455995458045,0.23749617412180837,8,4
spose_official_d40_lam0p008,0.14140319377183913,0.20578176299730935,-0.06437856922547022,0.1578000211956525,0.2296834077153887,-0.07188338651973619,-0.036486316472291946,0.20856881141662598,15,8
spose_softplus_d40_l1_0p01,0.2594101905822754,0.35196844975153607,-0.09255825916926069,0.3038249539606499,0.36365939169139655,-0.05983443773074665,0.04969470947980881,0.10094529390335083,12,7
srf_from_spose_official,0.17124971657128318,0.24638891449532035,-0.07513919792403717,0.18957648565765167,0.2751676237037568,-0.08559113804610513,-0.046186065676808594,0.20684848276652476,15,7
