raw,clean
is_not_dangerous,is not dangerous
lives_on_land_and_sea,lives on land and sea
rough,rough
is_sometimes_eaten_by_man,is sometimes eaten by man
small_ears,small ears
has_two_ears,has two ears
is_grisly,is grisly
is_slow,is slow
has_a_long_tail,has a long tail
is_long,is long
consists_of_different_parts,consists of different parts
has_a_handle,has a handle
has_a_metallic_color,has a metallic color
is_grey.1,is grey.1
looks_tough,looks tough
often_used__,often used
lives_on_the_steppe,lives on the steppe
has_camouflage,has camouflage
is_well_camouflaged,is well camouflaged
is_inconspicious,is inconspicious
lives_in_the_woods,lives in the woods
does_not_produce_sound,does not produce sound
does_not_weigh_much,does not weigh much
exists_in_different_lengths,exists in different lengths
has_a_grip_made_of_plastic,has a grip made of plastic
is_handy_to_transport,is handy to transport
can_be_lethal_to_man,can be lethal to man
can_kill_people,can kill people
is_medium-sized,is medium-sized
short_front_legs,short front legs
attacks,attacks
is_not_verry_big,is not verry big
has_a_small_head,has a small head
can_cause_much_hinder,can cause much hinder
lives_in_australia,lives in australia
incites_fear,incites fear
small_and_large_kinds,small and large kinds
frightens_people,frightens people
has_legs.1,has legs.1
is_an_animal_of_prey,is an animal of prey
has_many_colours,has many colours
is_beautiful,is beautiful
is_fast,is fast
has_four_paws,has four paws
is_small.1,is small.1
can_be_made_of_different_tissues,can be made of different tissues
can_be_used_as_weapon,can be used as weapon
can_harm,can harm
can_hurt,can hurt
can_injure,can injure
has_a_dark_color,has a dark color
is_blue.1,is blue.1
is_dangerous_for_children,is dangerous for children
is_made_of_iron,is made of iron
is_popular__,is popular
is_silver-coloured,is silver-coloured
is_straight,is straight
you_can_get_injured_by_it,you can get injured by it
you_can_injure_someone_with_it,you can injure someone with it
occasionally_occurs_in_films,occasionally occurs in films
is_slippery,is slippery
has_small_paws,has small paws
has_little_eyes,has little eyes
seems_mean,seems mean
hides_easily,hides easily
swims_in_rivers,swims in rivers
is_bigger_than_a_chicken,is bigger than a chicken
is_dangerous_to_people,is dangerous to people
is_a_scavenging_animal,is a scavenging animal
doesn't_make_a_sound,doesn't make a sound
can_have_different_colors,can have different colors
can_be_used_by_anyone,can be used by anyone
has_a_head.1,has a head.1
used_in_the_house,used in the house
has_a_flat_head,has a flat head
writhes_(twists),writhes (twists)
is_elongated,is elongated
can_be_used_to_threaten_somebody,can be used to threaten somebody
found_in_a_tool_box,found in a tool box
is_black.1,is black.1
is_derived_from_a__verb,is derived from a  verb
is_powerful,is powerful
is_tiring_to_use,is tiring to use
used_by_carpenters,used by carpenters
used_by_carpenters.1,used by carpenters.1
can_hurt_you,can hurt you
comes_in_different_lengths,comes in different lengths
is_dangerous_for_the_fingers,is dangerous for the fingers
is_easy_to_wash,is easy to wash
lives_in_Europe,lives in Europe
is_light,is light
protected_species,protected species
is_a_salt-water_fish,is a salt-water fish
digs_holes,digs holes
lays_eggs_in_sand,lays eggs in sand
is_fin-footed,is fin-footed
appears_in_fairy_tales_and_stories,appears in fairy tales and stories
