arm,layer,layer_name,n_concepts,top1_accuracy,top5_accuracy,top1_unique_fraction,top1_max_occurrence,top1_gini,top1_entropy_norm,top5_unique_fraction,top5_max_occurrence,mnn_accuracy,mnn_fraction,csls_top1_accuracy,csls_top5_accuracy,csls_top1_unique_fraction,csls_top1_max_occurrence,csls_top1_gini,csls_top1_entropy_norm,csls_top5_unique_fraction,csls_top5_max_occurrence,csls_mnn_accuracy,csls_mnn_fraction
base,0,embedding,128,0.0078125,0.0390625,0.0078125,128.0,0.9921875,0.0,0.0390625,128.0,0.0078125,0.0078125,0.0078125,0.0390625,0.0078125,128.0,0.9921875,0.0,0.0390625,128.0,0.0078125,0.0078125
base,1,layer_1,128,0.014322916666666666,0.09765625,0.032552083333333336,115.33333333333333,0.9894205729166666,0.07441135791999773,0.13020833333333334,127.66666666666667,0.0,0.010416666666666666,0.040364583333333336,0.19661458333333334,0.078125,97.0,0.9755859375,0.1746085180728948,0.24739583333333334,124.83333333333333,0.0026041666666666665,0.018229166666666668
base,2,layer_2,128,0.018229166666666668,0.09505208333333333,0.028645833333333332,112.33333333333333,0.9888102213541666,0.07623735892232088,0.11979166666666667,125.0,0.0,0.010416666666666666,0.059895833333333336,0.171875,0.08723958333333333,97.5,0.96728515625,0.18854086339751186,0.2265625,116.83333333333333,0.0,0.015625
base,3,layer_3,128,0.018229166666666668,0.12239583333333333,0.024739583333333332,111.0,0.9883829752604166,0.08251000071434451,0.14453125,124.83333333333333,0.0,0.0078125,0.05078125,0.20703125,0.07682291666666667,100.16666666666667,0.9781901041666666,0.1611900277837969,0.24609375,118.16666666666667,0.0,0.013020833333333334
base,4,layer_4,128,0.022135416666666668,0.13151041666666666,0.024739583333333332,109.16666666666667,0.9891560872395834,0.07509026781128159,0.14453125,127.83333333333333,0.0,0.0078125,0.07421875,0.24479166666666666,0.09244791666666667,98.83333333333333,0.9752400716145834,0.18195655772415867,0.2734375,125.33333333333333,0.0026041666666666665,0.018229166666666668
base,5,layer_5,128,0.03125,0.10807291666666667,0.033854166666666664,101.5,0.98663330078125,0.10841522249328857,0.11458333333333333,126.0,0.0,0.0078125,0.06640625,0.18229166666666666,0.08072916666666667,83.0,0.9727986653645834,0.22323633360717374,0.20182291666666666,121.83333333333333,0.0026041666666666665,0.013020833333333334
base,6,layer_6,128,0.01953125,0.0625,0.0234375,106.0,0.9879964192708334,0.08261522959352785,0.0703125,127.83333333333333,0.0,0.0078125,0.03515625,0.11588541666666667,0.040364583333333336,97.16666666666667,0.98358154296875,0.14520603324029194,0.13541666666666666,124.0,0.0,0.0078125
base,7,layer_7,128,0.016927083333333332,0.07552083333333333,0.020833333333333332,104.83333333333333,0.9887491861979166,0.07366821669451208,0.08984375,128.0,0.0,0.010416666666666666,0.040364583333333336,0.12760416666666666,0.049479166666666664,88.5,0.9798990885416666,0.1717652054956648,0.16015625,126.33333333333333,0.0,0.010416666666666666
base,8,layer_8,128,0.014322916666666666,0.0703125,0.020833333333333332,93.33333333333333,0.9864705403645834,0.12356903654525346,0.08333333333333333,126.66666666666667,0.0026041666666666665,0.0078125,0.040364583333333336,0.11197916666666667,0.053385416666666664,82.16666666666667,0.9796142578125,0.20882440448468187,0.13411458333333334,120.5,0.005208333333333333,0.013020833333333334
base,9,layer_9,128,0.01953125,0.07291666666666667,0.02734375,99.16666666666667,0.9874471028645834,0.1239699763625083,0.08203125,127.83333333333333,0.0,0.010416666666666666,0.03515625,0.09765625,0.044270833333333336,75.83333333333333,0.9796956380208334,0.20434922734097027,0.12760416666666666,125.16666666666667,0.0026041666666666665,0.010416666666666666
