subject,region,n_concepts,n_voxels,arm,layer,layer_name,rsa_spearman,selection
01,TE1a,90,692,taskvec_a0p5,31,layer_31,0.013041544927423975,best_mean_subjects
01,TE1a,90,692,taskvec_a1p0,32,layer_32,0.006857787753298421,best_mean_subjects
01,TE1m,90,543,base,3,layer_3,0.006718135781843592,best_mean_subjects
01,TE1m,90,543,scrambled,3,layer_3,-0.005088904001770657,best_mean_subjects
01,TE1m,90,543,lowLR,31,layer_31,0.007890264002724525,best_mean_subjects
01,TE1m,90,543,lowrank,4,layer_4,0.010817098518692196,best_mean_subjects
01,TE1m,90,543,taskvec_a0p25,4,layer_4,0.010801539312705149,best_mean_subjects
01,TE1m,90,543,taskvec_a0p5,4,layer_4,0.014620282980102801,best_mean_subjects
01,TE1m,90,543,taskvec_a1p0,4,layer_4,0.02218615470479248,best_mean_subjects
01,TE1p,90,910,base,4,layer_4,0.019577939268066998,best_mean_subjects
01,TE1p,90,910,scrambled,3,layer_3,0.02402938468895713,best_mean_subjects
01,TE1p,90,910,lowLR,3,layer_3,0.020113574096644438,best_mean_subjects
01,TE1p,90,910,lowrank,4,layer_4,0.014964130710174568,best_mean_subjects
01,TE1p,90,910,taskvec_a0p25,4,layer_4,0.01780342447151223,best_mean_subjects
01,TE1p,90,910,taskvec_a0p5,4,layer_4,0.019880005746150353,best_mean_subjects
01,TE1p,90,910,taskvec_a1p0,31,layer_31,0.015824372448425137,best_mean_subjects
01,TE2a,90,814,base,25,layer_25,0.029017582181095344,best_mean_subjects
01,TE2a,90,814,scrambled,17,layer_17,0.021370928823794468,best_mean_subjects
01,TE2a,90,814,lowLR,22,layer_22,0.03198535249840315,best_mean_subjects
01,TE2a,90,814,lowrank,22,layer_22,0.03140871181899527,best_mean_subjects
01,TE2a,90,814,taskvec_a0p25,25,layer_25,0.031055440097494995,best_mean_subjects
01,TE2a,90,814,taskvec_a0p5,25,layer_25,0.035722367650879376,best_mean_subjects
