region,arm,layer_name,n_subjects,mean_rsa_spearman,se_rsa_spearman
TF,base,layer_30,3,0.06676303241175034,0.021743689745018512
TF,lowLR,layer_30,3,0.0728733391772541,0.024695240267263593
TF,lowrank,layer_30,3,0.07409863701605864,0.025075626032122333
TF,scrambled,layer_6,3,0.05834423759502435,0.016634985438571247
TF,taskvec_a0p25,layer_30,3,0.06815986395549635,0.021318998891131934
TF,taskvec_a0p5,layer_6,3,0.07106955147703015,0.024716649131268198
TF,taskvec_a1p0,layer_6,3,0.06762341206966405,0.023496052677224228
TGd,base,layer_24,3,0.014412142220990748,0.015929141225865768
TGd,lowLR,layer_29,3,0.018072313456203914,0.021146412414988332
TGd,lowrank,layer_29,3,0.020150058112776956,0.025114258053127465
TGd,scrambled,layer_29,3,0.018467262133784825,0.02592131882354622
TGd,taskvec_a0p25,layer_29,3,0.018291461574290145,0.02168959758152313
TGd,taskvec_a0p5,layer_29,3,0.02244563040784439,0.026217539073952443
TGd,taskvec_a1p0,layer_29,3,0.02692566965707816,0.02921514172328062
TGv,base,layer_31,3,0.023410862633489366,0.01337810910105519
TGv,lowLR,layer_31,3,0.025355924402298665,0.011379897229850737
TGv,lowrank,layer_31,3,0.026322080035891343,0.01215080633219047
TGv,scrambled,layer_15,3,0.028893654358827386,0.008462672322084839
TGv,taskvec_a0p25,layer_31,3,0.02331235356080112,0.013501997049931765
TGv,taskvec_a0p5,layer_32,3,0.025437664436469606,0.011602796377518777
TGv,taskvec_a1p0,layer_31,3,0.030637037044841078,0.011285858858998242
Ventral Visual,base,layer_31,3,0.1990089330864685,0.027451169694965315
Ventral Visual,lowLR,layer_6,3,0.2009579233552263,0.022415290408411746
Ventral Visual,lowrank,layer_6,3,0.20133127076251714,0.023271392256959438
Ventral Visual,scrambled,layer_7,3,0.129325698693557,0.014256521032381073
Ventral Visual,taskvec_a0p25,layer_6,3,0.19677110467217443,0.0226705243375849
Ventral Visual,taskvec_a0p5,layer_6,3,0.19729053260161092,0.024648395429492185
Ventral Visual,taskvec_a1p0,layer_7,3,0.18556837156746284,0.024449068001840477
