edit_id,mode,fraction,seed,target_snr,target_rank,target_top_ranked,feature_row_l2_rms,feature_locality_gini
concentrated_drop_015,concentrated,0.15,0,0.8721249424163249,20,False,0.017852302234953748,0.3242366461456099
concentrated_drop_015,concentrated,0.15,1,0.8078889907355146,23,False,0.017852302234953748,0.3242366461456099
concentrated_drop_015,concentrated,0.15,2,0.9287904441270164,8,False,0.017852302234953748,0.3242366461456099
concentrated_drop_015,concentrated,0.15,3,0.7962835049444857,29,False,0.017852302234953748,0.3242366461456099
concentrated_drop_015,concentrated,0.15,4,0.8888194417315587,16,False,0.017852302234953748,0.3242366461456099
concentrated_drop_035,concentrated,0.35,0,1.0020498825748458,5,False,0.04659032837850434,0.3691711277636174
concentrated_drop_035,concentrated,0.35,1,0.8667054150547329,20,False,0.04659032837850434,0.3691711277636174
concentrated_drop_035,concentrated,0.35,2,1.0248642823560297,5,False,0.04659032837850434,0.3691711277636174
concentrated_drop_035,concentrated,0.35,3,0.9416280499273505,26,False,0.04659032837850434,0.3691711277636174
concentrated_drop_035,concentrated,0.35,4,0.9829801625668749,5,False,0.04659032837850434,0.3691711277636174
concentrated_drop_065,concentrated,0.65,0,1.2250240791625457,1,True,0.11028095418111558,0.45053199166357416
concentrated_drop_065,concentrated,0.65,1,1.2631695108588896,1,True,0.11028095418111558,0.45053199166357416
concentrated_drop_065,concentrated,0.65,2,1.2579176334961435,1,True,0.11028095418111558,0.45053199166357416
concentrated_drop_065,concentrated,0.65,3,1.3303721618537554,3,False,0.11028095418111558,0.45053199166357416
concentrated_drop_065,concentrated,0.65,4,1.2752450744856845,1,True,0.11028095418111558,0.45053199166357416
concentrated_drop_100,concentrated,1.0,0,2.0751938580681113,1,True,0.2623285144321861,0.38984445988085326
concentrated_drop_100,concentrated,1.0,1,2.0684690906565053,1,True,0.2623285144321861,0.38984445988085326
concentrated_drop_100,concentrated,1.0,2,2.1425336774168042,1,True,0.2623285144321861,0.38984445988085326
concentrated_drop_100,concentrated,1.0,3,2.5512882063594766,1,True,0.2623285144321861,0.38984445988085326
concentrated_drop_100,concentrated,1.0,4,1.9786358937409372,1,True,0.2623285144321861,0.38984445988085326
diffuse_drop_015,diffuse,0.15,0,0.8212299340934686,23,False,0.0557534646824047,0.2409647809210822
diffuse_drop_015,diffuse,0.15,1,0.7947783600412285,23,False,0.0557534646824047,0.2409647809210822
diffuse_drop_015,diffuse,0.15,2,1.0058893400621414,7,False,0.0557534646824047,0.2409647809210822
diffuse_drop_015,diffuse,0.15,3,0.9686142581946682,26,False,0.0557534646824047,0.2409647809210822
diffuse_drop_015,diffuse,0.15,4,1.0606601717798212,4,False,0.0557534646824047,0.2409647809210822
diffuse_drop_035,diffuse,0.35,0,0.9743635896957361,9,False,0.11371262283498902,0.25573043703294007
diffuse_drop_035,diffuse,0.35,1,0.8891432609757646,17,False,0.11371262283498902,0.25573043703294007
diffuse_drop_035,diffuse,0.35,2,1.1337003289775474,1,True,0.11371262283498902,0.25573043703294007
diffuse_drop_035,diffuse,0.35,3,1.3342414055893481,2,False,0.11371262283498902,0.25573043703294007
diffuse_drop_035,diffuse,0.35,4,1.2364263018878237,1,True,0.11371262283498902,0.25573043703294007
diffuse_drop_065,diffuse,0.65,0,1.5826521922697692,1,True,0.2092758348174193,0.32829609126745285
diffuse_drop_065,diffuse,0.65,1,1.4963586112190277,1,True,0.2092758348174193,0.32829609126745285
diffuse_drop_065,diffuse,0.65,2,1.641222487662936,1,True,0.2092758348174193,0.32829609126745285
diffuse_drop_065,diffuse,0.65,3,1.9719541516478407,1,True,0.2092758348174193,0.32829609126745285
diffuse_drop_065,diffuse,0.65,4,1.6370705543744897,1,True,0.2092758348174193,0.32829609126745285
diffuse_drop_100,diffuse,1.0,0,2.747464942722856,1,True,0.3791436661494703,0.2807400929020689
diffuse_drop_100,diffuse,1.0,1,2.6209929670606202,1,True,0.3791436661494703,0.2807400929020689
diffuse_drop_100,diffuse,1.0,2,2.8312889354580157,1,True,0.3791436661494703,0.2807400929020689
diffuse_drop_100,diffuse,1.0,3,3.320113011464437,1,True,0.3791436661494703,0.2807400929020689
diffuse_drop_100,diffuse,1.0,4,2.582150266735071,1,True,0.3791436661494703,0.2807400929020689
