analysis,target,hub_metric,n,spearman_r,spearman_p,pearson_r,pearson_p,region
arm_summary_raw,mean_rsa_spearman,best_cross_format_rdm_spearman,7,0.6785714285714287,0.0937502539598313,0.6962196311956198,0.08227230958147635,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,best_linear_cka,7,0.8571428571428573,0.01369732661532562,0.940037799405348,0.0016370142454763944,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,best_retrieval_top1,7,0.28571428571428575,0.5345092286010406,0.12202342294280816,0.7943853803310168,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,best_retrieval_top5,7,0.4642857142857144,0.2939341076002517,0.2952458413163231,0.5203323178716216,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,best_concept_minus_format_alignment,7,-0.10714285714285716,0.8191508555699912,-0.09075127777776419,0.8465694817008746,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,mid_cross_format_rdm_spearman,7,0.5714285714285715,0.1802019889115274,0.7599057121202163,0.04743885789580724,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,mid_linear_cka,7,0.5714285714285715,0.1802019889115274,0.6847248023594035,0.0896583496378995,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,mid_retrieval_top1,7,0.1785714285714286,0.7016579425162729,0.11922038802032706,0.7990404808516899,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,mid_retrieval_top5,7,0.5,0.25316999510032273,0.37439160397621185,0.4080050105377329,ATL (Semantic)
arm_summary_raw,mean_rsa_spearman,mid_concept_minus_format_alignment,7,0.14285714285714288,0.7599453002180929,-0.013485077111503138,0.9771091035334953,ATL (Semantic)
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_cross_format_rdm_spearman,6,0.5428571428571429,0.26570262390670557,0.8340887475958072,0.039006333843808444,ATL (Semantic)
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_linear_cka,6,0.7714285714285715,0.07239650145772594,0.9878481590697974,0.0002206036425960747,ATL (Semantic)
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_retrieval_top1,6,0.08571428571428573,0.8717434402332361,0.0520433629572242,0.9220054355910261,ATL (Semantic)
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_retrieval_top5,6,0.3142857142857143,0.5440932944606414,0.2610805291389001,0.6172772279189724,ATL (Semantic)
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_concept_minus_format_alignment,6,-0.14285714285714288,0.7871720116618075,-0.07673388092033381,0.8851250865596778,ATL (Semantic)
