analysis,target,hub_metric,n,spearman_r,spearman_p,pearson_r,pearson_p,region
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.18908285287209056,0.004514723521433402,0.152665709687969,0.02228226694710808,TE1a
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.030918536201611377,0.6703089487322924,-0.10241746229535977,0.15748204450380066,TE1a
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.20679102351951825,0.004004057814693438,0.12892294032218776,0.07471851912368464,TE1a
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.055790973347876166,0.44212296656922956,-0.11758629811280255,0.10430667555377775,TE1a
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,0.05067461170488979,0.4851574940905249,-0.06276025336188804,0.38714538215819,TE1a
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,0.5397824376746331,6.524937152299227e-16,0.4098727036197184,3.5539448909511707e-09,TE1a
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.056814008114456555,0.39741848107098166,-0.017158381430090908,0.798425604207639,TE1m
arm_layer_raw,rsa_spearman_mean,linear_cka,224,0.09512705530642752,0.15590313880740975,0.1083262859598403,0.10588465108752043,TE1m
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.04323300150499432,0.5197483925992927,0.08496131812166055,0.20524037515112564,TE1m
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.14759212865355978,0.027194933367323943,0.1609626555541943,0.015894254098875828,TE1m
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.11691010036301518,0.08081914163715859,0.09449383043778319,0.15868809461601602,TE1m
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.15532512275181076,0.031455102344003706,0.2675546355542653,0.00017559180565948537,TE1m
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.22975612402680198,0.0013468687026750071,0.2975113017024819,2.7796090590740102e-05,TE1m
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.10730670161759796,0.13848488336038478,-0.07486879772032609,0.30203113996827946,TE1m
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,0.031920868394270614,0.6602758898373104,0.04895299527517723,0.5001284662679623,TE1m
