region,arm,layer,layer_name,model,mean_test_pearson_r,mean_test_spearman_r,mean_test_r2_vs_train_mean,n_subjects,n_test_pairs
ATL (Semantic),taskvec_a1p0,22,layer_22,mean_repr_plus_single_formats,0.04946944470391745,0.03389169391504546,0.0013767777731150677,3,765
ATL (Semantic),taskvec_a1p0,12,layer_12,single_feature_listing,0.03968620169515976,0.03014782608462575,0.0007957548737536809,3,765
ATL (Semantic),taskvec_a1p0,25,layer_25,single_pairwise,0.032072581854133426,0.013819518210958873,-0.00014130088899585078,3,765
ATL (Semantic),taskvec_a1p0,29,layer_29,single_triplet,0.04258458302341028,0.03072058928511279,0.0011442239081472423,3,765
Language,base,32,layer_32,all_single_formats,0.04951032115469817,0.05582337100082743,0.0020047837537175983,3,765
Language,base,0,embedding,mean_rdm,0.03188105778396057,0.02097800517721621,0.0,3,765
Language,base,0,embedding,mean_repr,0.03188105778396057,0.02097800517721621,0.0,3,765
Language,base,26,layer_26,mean_repr_plus_single_formats,0.04218140161329067,0.049934522585799,0.001282859950241022,3,765
Language,base,32,layer_32,single_feature_listing,0.04008518336411645,0.04840285053914666,0.0013448011015606183,3,765
Language,base,28,layer_28,single_pairwise,0.03901394280935488,0.03340905429742605,0.0001222077094406767,3,765
Language,base,23,layer_23,single_triplet,0.036495854363381305,0.03701798245578767,0.0009549522224904239,3,765
Language,lowLR,27,layer_27,all_single_formats,0.06540224458017545,0.06781750917072454,0.0033210461155939917,3,765
Language,lowLR,23,layer_23,mean_rdm,0.06261298108985579,0.05273022099174538,0.002707845932542585,3,765
Language,lowLR,18,layer_18,mean_repr,0.06119482441983162,0.05946786790940181,0.0024905763772777867,3,765
Language,lowLR,23,layer_23,mean_repr_plus_single_formats,0.06882906041160379,0.065268683444288,0.003574575623251993,3,765
Language,lowLR,30,layer_30,single_feature_listing,0.05257440318848483,0.055506942249876685,0.002045402307789194,3,765
Language,lowLR,31,layer_31,single_pairwise,0.05830170192828963,0.04606236244583271,0.000923134303191279,3,765
Language,lowLR,23,layer_23,single_triplet,0.04798569411320954,0.05013286237127324,0.002013098122388368,3,765
Language,lowrank,23,layer_23,all_single_formats,0.06840392736716151,0.06478034353462243,0.003918310962879164,3,765
Language,lowrank,18,layer_18,mean_rdm,0.058501635166554045,0.06733121529064923,0.0024878854604245917,3,765
Language,lowrank,18,layer_18,mean_repr,0.058222609090941575,0.059995377223973856,0.00263165128079094,3,765
Language,lowrank,23,layer_23,mean_repr_plus_single_formats,0.07057707881805624,0.06458379067455451,0.004152578425039429,3,765
Language,lowrank,18,layer_18,single_feature_listing,0.054918127599188266,0.062279577166988793,0.002442422093246447,3,765
Language,lowrank,32,layer_32,single_pairwise,0.0555640971692093,0.04445013580186357,0.0006671067652793683,3,765
Language,lowrank,18,layer_18,single_triplet,0.05479987367810424,0.05827849035895668,0.002770367537647367,3,765
Language,scrambled,0,embedding,all_single_formats,0.03188105778396057,0.02097800517721621,0.0,3,765
Language,scrambled,0,embedding,mean_rdm,0.03188105778396057,0.02097800517721621,0.0,3,765
Language,scrambled,0,embedding,mean_repr,0.03188105778396057,0.02097800517721621,0.0,3,765
Language,scrambled,0,embedding,mean_repr_plus_single_formats,0.03188105778396057,0.02097800517721621,0.0,3,765
Language,scrambled,19,layer_19,single_feature_listing,0.037982252139407875,0.017146264043781816,0.00035729325020213604,3,765
Language,scrambled,0,embedding,single_pairwise,0.03188105778396057,0.02097800517721621,0.0,3,765
Language,scrambled,0,embedding,single_triplet,0.03188105778396057,0.02097800517721621,0.0,3,765
Language,taskvec_a0p25,22,layer_22,all_single_formats,0.05364123573914865,0.0570591460694476,0.003581527018837072,3,765
Language,taskvec_a0p25,23,layer_23,mean_rdm,0.05990600927536838,0.06617992605523977,0.0034078656214358016,3,765
Language,taskvec_a0p25,23,layer_23,mean_repr,0.06138539735319299,0.06690051265996444,0.0034555124408132873,3,765
Language,taskvec_a0p25,19,layer_19,mean_repr_plus_single_formats,0.050246644412001044,0.05091559824162966,0.0025697898578815512,3,765
Language,taskvec_a0p25,18,layer_18,single_feature_listing,0.05719085707954386,0.07032526241669688,0.002670950685644491,3,765
Language,taskvec_a0p25,25,layer_25,single_pairwise,0.0634535851359278,0.06287154981559376,0.0035489669399643895,3,765
Language,taskvec_a0p25,23,layer_23,single_triplet,0.05778949638835675,0.05719719499171269,0.002848195601673672,3,765
Language,taskvec_a0p5,19,layer_19,all_single_formats,0.06694781783727027,0.06389552061580309,0.0038538779978737705,3,765
Language,taskvec_a0p5,23,layer_23,mean_rdm,0.06418442139012097,0.0703282108436173,0.0036493121047440624,3,765
Language,taskvec_a0p5,23,layer_23,mean_repr,0.06487592278515732,0.06937942492987882,0.0034801081580858964,3,765
Language,taskvec_a0p5,18,layer_18,mean_repr_plus_single_formats,0.06792758030762062,0.07500842758694755,0.0039653690459362885,3,765
Language,taskvec_a0p5,18,layer_18,single_feature_listing,0.05830688041019442,0.06047911580071814,0.002403190086327648,3,765
Language,taskvec_a0p5,23,layer_23,single_pairwise,0.06719749371604765,0.07173331496374016,0.003804087608965112,3,765
Language,taskvec_a0p5,20,layer_20,single_triplet,0.05553435214305175,0.05328554380026676,0.0024945928201456358,3,765
Language,taskvec_a1p0,18,layer_18,all_single_formats,0.06337023049410923,0.06833920204309903,0.0023930759287449366,3,765
Language,taskvec_a1p0,27,layer_27,mean_rdm,0.054046004033502654,0.05143288634287757,0.002024787827550926,3,765
Language,taskvec_a1p0,30,layer_30,mean_repr,0.0624182666832425,0.06858536888707338,0.002547670717104785,3,765
Language,taskvec_a1p0,18,layer_18,mean_repr_plus_single_formats,0.076466658550213,0.07291654549078755,0.0034801692444288803,3,765
Language,taskvec_a1p0,10,layer_10,single_feature_listing,0.03875603214468418,0.034728126893861726,0.0004584969104406052,3,765
Language,taskvec_a1p0,30,layer_30,single_pairwise,0.039065435753986306,0.029147943038893592,0.0009845504205171496,3,765
Language,taskvec_a1p0,25,layer_25,single_triplet,0.05122693937896395,0.05377327615529418,0.001964831899807784,3,765
Ventral Visual,base,30,layer_30,all_single_formats,0.15053353699178026,0.16004059537138074,0.022403046135357336,3,765
Ventral Visual,base,32,layer_32,mean_rdm,0.14394943398627857,0.14936548512478412,0.019254050532451883,3,765
Ventral Visual,base,32,layer_32,mean_repr,0.15416236577356912,0.15172239506258214,0.022886406991609005,3,765
Ventral Visual,base,30,layer_30,mean_repr_plus_single_formats,0.15275608043508973,0.1589057547843364,0.022548674821697017,3,765
Ventral Visual,base,30,layer_30,single_feature_listing,0.16266332317609847,0.17076031621074605,0.02700426753340616,3,765
Ventral Visual,base,9,layer_9,single_pairwise,0.0783617323964274,0.10305329263789413,0.005484609371040006,3,765
Ventral Visual,base,23,layer_23,single_triplet,0.10754818799119335,0.11762239031829519,0.012013258270578345,3,765
Ventral Visual,lowLR,25,layer_25,all_single_formats,0.1897884503705025,0.19325113119079187,0.03633817012630033,3,765
Ventral Visual,lowLR,25,layer_25,mean_rdm,0.16600441010347486,0.1692580033485195,0.027335089087987652,3,765
Ventral Visual,lowLR,22,layer_22,mean_repr,0.18223760266834232,0.181815380406488,0.033396431616204016,3,765
Ventral Visual,lowLR,22,layer_22,mean_repr_plus_single_formats,0.19275170348740991,0.1897092663429294,0.03698802129678421,3,765
Ventral Visual,lowLR,18,layer_18,single_feature_listing,0.19442915094750612,0.1942133994567211,0.038262589817950644,3,765
Ventral Visual,lowLR,7,layer_7,single_pairwise,0.17226293858777694,0.17925272387740657,0.029419417439796074,3,765
Ventral Visual,lowLR,7,layer_7,single_triplet,0.1587981444097901,0.1563908806406199,0.02535004004781949,3,765
