subject,region,arm,layer,layer_name,model,predictors,n_test_pairs,test_pearson_r,test_spearman_r,test_r2_vs_train_mean,mean_standardized_beta
01,Ventral Visual,base,4,layer_4,mean_repr_plus_single_formats,"mean_repr,single_triplet,single_pairwise,single_feature_listing",765,0.01909841069950766,0.0447951821631965,-0.010727463513237723,"[-0.003694, 0.003564, 0.003428, 0.004637]"
01,Ventral Visual,base,5,layer_5,mean_repr,mean_repr,765,0.06286671384304245,0.09777841392322242,-7.754497664680393e-05,[0.006505]
01,Ventral Visual,base,5,layer_5,mean_rdm,mean_rdm,765,0.06542840021612135,0.09955551123980548,0.0010669480955186605,[0.006551]
01,Ventral Visual,base,5,layer_5,all_single_formats,"single_triplet,single_pairwise,single_feature_listing",765,0.03841746476871148,0.06293787155204926,-0.007927302119654867,"[0.002271, 0.001269, 0.004585]"
01,Ventral Visual,base,5,layer_5,single_triplet,single_triplet,765,0.04262379432155844,0.07871267928110917,-0.0010119879648999852,[0.00513]
01,Ventral Visual,base,5,layer_5,single_pairwise,single_pairwise,765,0.0372511363099748,0.07541183493205081,-0.002647501098946403,[0.00499]
01,Ventral Visual,base,5,layer_5,single_feature_listing,single_feature_listing,765,0.06024518520444101,0.07845522800319395,0.0009143928815619207,[0.006113]
01,Ventral Visual,base,5,layer_5,mean_repr_plus_single_formats,"mean_repr,single_triplet,single_pairwise,single_feature_listing",765,0.03521447504712638,0.0638447004572474,-0.009827942830949787,"[0.002828, 0.001071, 0.000206, 0.003492]"
01,Ventral Visual,base,6,layer_6,mean_repr,mean_repr,765,0.04661182769144127,0.07515915474497045,-0.0012328085175805636,[0.005547]
01,Ventral Visual,base,6,layer_6,mean_rdm,mean_rdm,765,0.04908214147977656,0.07568762006463489,-0.0007591606831780506,[0.005723]
01,Ventral Visual,base,6,layer_6,all_single_formats,"single_triplet,single_pairwise,single_feature_listing",765,0.01978022673473464,0.037264176103643104,-0.008888802546538788,"[0.001728, 0.001455, 0.003976]"
01,Ventral Visual,base,6,layer_6,single_triplet,single_triplet,765,0.025511070964754433,0.05962646647383954,-0.002466081190105829,[0.004393]
01,Ventral Visual,base,6,layer_6,single_pairwise,single_pairwise,765,0.04131740771897383,0.05812536872088931,-0.00024266784756532545,[0.00442]
01,Ventral Visual,base,6,layer_6,single_feature_listing,single_feature_listing,765,0.03529915821674582,0.05651341011573111,-0.002718345532937372,[0.005293]
01,Ventral Visual,base,6,layer_6,mean_repr_plus_single_formats,"mean_repr,single_triplet,single_pairwise,single_feature_listing",765,0.01859055477025906,0.0346678181613985,-0.009357766350892582,"[6.2e-05, 0.001692, 0.001446, 0.00393]"
01,Ventral Visual,base,7,layer_7,mean_repr,mean_repr,765,0.07077655235603644,0.1017297348586886,0.0012131663394510106,[0.007137]
01,Ventral Visual,base,7,layer_7,mean_rdm,mean_rdm,765,0.07456041937805685,0.09797963065860084,0.002493100228113443,[0.007177]
01,Ventral Visual,base,7,layer_7,all_single_formats,"single_triplet,single_pairwise,single_feature_listing",765,0.061315222717108625,0.07610356269146347,-0.003701268443650818,"[0.001351, 0.000524, 0.00712]"
01,Ventral Visual,base,7,layer_7,single_triplet,single_triplet,765,0.03237616746008641,0.0564817279282771,-0.001348889854522195,[0.004507]
01,Ventral Visual,base,7,layer_7,single_pairwise,single_pairwise,765,0.05843996510591462,0.07502047146418614,0.002207474674164933,[0.004911]
01,Ventral Visual,base,7,layer_7,single_feature_listing,single_feature_listing,765,0.07909911932337124,0.09239890179138378,0.002478538136545305,[0.007883]
01,Ventral Visual,base,7,layer_7,mean_repr_plus_single_formats,"mean_repr,single_triplet,single_pairwise,single_feature_listing",765,0.05226192342410799,0.07143984820426058,-0.007488718104556202,"[0.004513, -0.000635, -0.000989, 0.005248]"
01,Ventral Visual,base,8,layer_8,mean_repr,mean_repr,765,0.06154374274067346,0.08478799336228689,6.477573269247916e-05,[0.006711]
01,Ventral Visual,base,8,layer_8,mean_rdm,mean_rdm,765,0.06061707949507111,0.07894855343474314,0.00022357371848336083,[0.006619]
01,Ventral Visual,base,8,layer_8,all_single_formats,"single_triplet,single_pairwise,single_feature_listing",765,0.05577168123689402,0.06614077451958734,-0.003841190385927229,"[0.000457, 0.001475, 0.00652]"
01,Ventral Visual,base,8,layer_8,single_triplet,single_triplet,765,0.019386099751329232,0.043465388014322925,-0.0019450417423483302,[0.003739]
01,Ventral Visual,base,8,layer_8,single_pairwise,single_pairwise,765,0.06260967513434093,0.08520465969390503,0.0028801822957212897,[0.005082]
01,Ventral Visual,base,8,layer_8,single_feature_listing,single_feature_listing,765,0.06743028916628074,0.07809627042757282,0.0004004204087090235,[0.007394]
01,Ventral Visual,base,8,layer_8,mean_repr_plus_single_formats,"mean_repr,single_triplet,single_pairwise,single_feature_listing",765,0.04731100824758478,0.05905307784946028,-0.006372982981815101,"[0.003419, -0.001015, 0.000282, 0.005042]"
01,Ventral Visual,base,9,layer_9,mean_repr,mean_repr,765,0.0699517012892267,0.09418034133670418,0.0011601444104545333,[0.007152]
01,Ventral Visual,base,9,layer_9,mean_rdm,mean_rdm,765,0.06306262231749293,0.08301279912126157,0.00010056592978713308,[0.006907]
01,Ventral Visual,base,9,layer_9,all_single_formats,"single_triplet,single_pairwise,single_feature_listing",765,0.05040431390138951,0.057856338166341136,-0.005322453547924155,"[0.000499, 0.002872, 0.005316]"
01,Ventral Visual,base,9,layer_9,single_triplet,single_triplet,765,0.027967605816411167,0.05587815813378514,-0.0018846177089266725,[0.004309]
01,Ventral Visual,base,9,layer_9,single_pairwise,single_pairwise,765,0.07386232914854728,0.10072517900301892,0.003986335782749539,[0.005914]
01,Ventral Visual,base,9,layer_9,single_feature_listing,single_feature_listing,765,0.05106468179598325,0.05884540137873803,-0.002765834788678978,[0.006976]
01,Ventral Visual,base,9,layer_9,mean_repr_plus_single_formats,"mean_repr,single_triplet,single_pairwise,single_feature_listing",765,0.050097131726800075,0.0636469950302924,-0.00560132770861288,"[0.004462, -0.00122, 0.001247, 0.003329]"
01,Ventral Visual,base,10,layer_10,mean_repr,mean_repr,765,0.07192740407222109,0.09510614738971744,0.0023047923434322826,[0.006857]
01,Ventral Visual,base,10,layer_10,mean_rdm,mean_rdm,765,0.06199700245316969,0.07645107500985712,0.0002716506745384928,[0.006632]
01,Ventral Visual,base,10,layer_10,all_single_formats,"single_triplet,single_pairwise,single_feature_listing",765,0.04757100344027195,0.05452139928053022,-0.004956384342823306,"[0.001285, 0.001797, 0.005596]"
01,Ventral Visual,base,10,layer_10,single_triplet,single_triplet,765,0.03238922843772119,0.04489392766114962,-0.0006650315617893199,[0.003686]
01,Ventral Visual,base,10,layer_10,single_pairwise,single_pairwise,765,0.05320127551585528,0.08452719159923479,0.0013027296690104606,[0.00486]
01,Ventral Visual,base,10,layer_10,single_feature_listing,single_feature_listing,765,0.05098901574797798,0.06267154818949164,-0.0022459193798280985,[0.006711]
01,Ventral Visual,base,10,layer_10,mean_repr_plus_single_formats,"mean_repr,single_triplet,single_pairwise,single_feature_listing",765,0.047438406733749605,0.06230001959363708,-0.00525653100072887,"[0.004378, -0.00058, 0.000429, 0.003295]"
01,Ventral Visual,base,11,layer_11,mean_repr,mean_repr,765,0.071124418508837,0.10103937409721177,0.001255489160964851,[0.007297]
01,Ventral Visual,base,11,layer_11,mean_rdm,mean_rdm,765,0.06162727953814716,0.08184755399842876,-0.000523314176792633,[0.007032]
01,Ventral Visual,base,11,layer_11,all_single_formats,"single_triplet,single_pairwise,single_feature_listing",765,0.04927825145536744,0.06659049003659534,-0.00512441284120424,"[0.001692, 0.001518, 0.005869]"
