arm,layer,layer_name,format_a,format_b,cross_format_rdm_spearman,linear_cka,retrieval_top1,retrieval_top5,retrieval_margin,concept_label_alignment,format_label_alignment,concept_minus_format_alignment
base,0,embedding,triplet,pairwise,nan,nan,0.0078125,0.0390625,0.0,,,
base,0,embedding,triplet,feature_listing,nan,nan,0.0078125,0.0390625,0.0,,,
base,0,embedding,pairwise,feature_listing,nan,nan,0.0078125,0.0390625,0.0,,,
base,0,embedding,__mean__,__mean__,nan,nan,0.0078125,0.0390625,0.0,0.0,4.214647120193149e-08,-4.214647120193149e-08
base,1,layer_1,triplet,pairwise,0.5494755741534691,0.5572997331619263,0.015625,0.140625,-0.0047533775214105844,,,
base,1,layer_1,triplet,feature_listing,0.7332425120824699,0.6626240611076355,0.015625,0.08203125,-0.0018904833123087883,,,
base,1,layer_1,pairwise,feature_listing,0.4934878182515848,0.4241480231285095,0.01171875,0.0703125,-0.0049450884107500315,,,
base,1,layer_1,__mean__,__mean__,0.5920686348291746,0.5480239391326904,0.014322916666666666,0.09765625,-0.0038629830814898014,0.002830842975527048,0.8212504982948303,-0.8184196553193033
base,2,layer_2,triplet,pairwise,0.5984744101617062,0.5981241464614868,0.03125,0.12109375,-0.008206675760447979,,,
base,2,layer_2,triplet,feature_listing,0.7026964272720965,0.6722289323806763,0.01171875,0.11328125,-0.0022363848984241486,,,
base,2,layer_2,pairwise,feature_listing,0.5284537536979134,0.4761515259742737,0.01171875,0.05078125,-0.006673343945294619,,,
base,2,layer_2,__mean__,__mean__,0.609874863710572,0.5821682016054789,0.018229166666666668,0.09505208333333333,-0.005705468201388915,0.002285362919792533,0.8343493938446045,-0.832064030924812
base,3,layer_3,triplet,pairwise,0.6351070098406049,0.6291741728782654,0.015625,0.1171875,-0.006018300773575902,,,
base,3,layer_3,triplet,feature_listing,0.6872796964290396,0.6519334316253662,0.03125,0.19140625,-0.0014948525931686163,,,
base,3,layer_3,pairwise,feature_listing,0.5619261247088684,0.5194308161735535,0.0078125,0.05859375,-0.003913710126653314,,,
base,3,layer_3,__mean__,__mean__,0.6281042769928376,0.6001794735590616,0.018229166666666668,0.12239583333333333,-0.0038089544977992773,0.0021800529211759567,0.8580465316772461,-0.8558664787560701
base,4,layer_4,triplet,pairwise,0.6885203064537602,0.6798263192176819,0.0234375,0.1796875,-0.005455601494759321,,,
base,4,layer_4,triplet,feature_listing,0.5242443360943061,0.4976526200771332,0.0234375,0.11328125,-0.002608418930321932,,,
base,4,layer_4,pairwise,feature_listing,0.567657595197524,0.5363574624061584,0.01953125,0.1015625,-0.003742884611710906,,,
base,4,layer_4,__mean__,__mean__,0.5934740792485301,0.5712788005669912,0.022135416666666668,0.13151041666666666,-0.003935635012264053,0.002821724396198988,0.9094027876853943,-0.9065810632891953
base,5,layer_5,triplet,pairwise,0.6580963439232673,0.70428866147995,0.046875,0.1328125,-0.0066604220774024725,,,
base,5,layer_5,triplet,feature_listing,0.45771319805071314,0.5128036737442017,0.02734375,0.09765625,-0.004403312923386693,,,
base,5,layer_5,pairwise,feature_listing,0.539277229130628,0.5613229870796204,0.01953125,0.09375,-0.004354166332632303,,,
base,5,layer_5,__mean__,__mean__,0.5516955903682028,0.5928051074345907,0.03125,0.10807291666666667,-0.005139300444473823,0.0027203927747905254,0.9685307145118713,-0.9658103217370808
base,6,layer_6,triplet,pairwise,0.6587005798758486,0.7054351568222046,0.03125,0.078125,-0.005242101615294814,,,
base,6,layer_6,triplet,feature_listing,0.4460653158389803,0.4828149676322937,0.01171875,0.05859375,-0.006263420218601823,,,
base,6,layer_6,pairwise,feature_listing,0.5205236844965253,0.5182067155838013,0.015625,0.05078125,-0.004614722216501832,,,
base,6,layer_6,__mean__,__mean__,0.5417631934037848,0.5688189466794332,0.01953125,0.0625,-0.005373414683466156,0.0018804798601195216,0.9637223482131958,-0.9618418683530763
base,7,layer_7,triplet,pairwise,0.618291953841297,0.6783046126365662,0.0234375,0.0859375,-0.004736853530630469,,,
base,7,layer_7,triplet,feature_listing,0.3887212228792573,0.47099432349205017,0.01953125,0.0546875,-0.004774871747940779,,,
base,7,layer_7,pairwise,feature_listing,0.5091268405483621,0.5399659276008606,0.0078125,0.0859375,-0.004034325014799833,,,
base,7,layer_7,__mean__,__mean__,0.5053800057563055,0.5630882879098257,0.016927083333333332,0.07552083333333333,-0.0045153500977903605,0.0019250530749559402,0.9636792540550232,-0.9617542009800673
base,8,layer_8,triplet,pairwise,0.5723951766217051,0.6369484663009644,0.01171875,0.0625,-0.004271708661690354,,,
base,8,layer_8,triplet,feature_listing,0.38748507555110484,0.4626736640930176,0.01953125,0.08203125,-0.004985298961400986,,,
base,8,layer_8,pairwise,feature_listing,0.5351845991754728,0.5732154846191406,0.01171875,0.06640625,-0.00543144391849637,,,
base,8,layer_8,__mean__,__mean__,0.49835495044942757,0.5576125383377075,0.014322916666666666,0.0703125,-0.00489615051386257,0.002055675955489278,0.9717550873756409,-0.9696994114201516
base,9,layer_9,triplet,pairwise,0.5798955872885656,0.6351816654205322,0.03125,0.09765625,-0.004023490706458688,,,
base,9,layer_9,triplet,feature_listing,0.40983741479102664,0.4686071574687958,0.015625,0.06640625,-0.007033053552731872,,,
base,9,layer_9,pairwise,feature_listing,0.5611881511518226,0.5578625202178955,0.01171875,0.0546875,-0.008839011890813708,,,
base,9,layer_9,__mean__,__mean__,0.516973717743805,0.5538837810357412,0.01953125,0.07291666666666667,-0.006631852050001423,0.0015320737147703767,0.9138160347938538,-0.9122839610790834
